chn,slots,seqs,frgs,trxs,seed,TP,FP,FN,len(T),len(T'),dup(T),dup(T'),time[s]
35,7000,8832,30,2850,4,1216,15174,1634,2850,16390,0,0,162.49,milp
35,7000,8832,30,2850,6,1204,13867,1646,2850,15071,0,0,163.29,milp
35,7000,8832,30,2850,8,1219,13303,1631,2850,14522,0,0,158.88,milp
35,7000,8832,30,2850,10,1214,13652,1636,2850,14866,0,0,160.59,milp
35,7000,8832,30,2850,12,1195,13597,1655,2850,14792,0,0,161.04,milp
35,7000,8832,30,2850,14,1217,13205,1633,2850,14422,0,0,161.54,milp
35,7000,8832,30,2850,16,1208,15077,1642,2850,16285,0,0,161.09,milp
35,7000,8832,30,2850,18,1143,13623,1707,2850,14766,0,0,163.25,milp
35,7000,8832,30,2950,0,1228,17859,1722,2950,19087,0,0,170.05,milp
35,7000,8832,30,2950,2,1211,16733,1739,2950,17944,0,0,168.17,milp
35,7000,8832,30,2950,4,1199,20233,1751,2950,21432,0,0,171.90,milp
35,7000,8832,30,2950,6,1198,17906,1752,2950,19104,0,0,171.26,milp
35,7000,8832,30,2950,8,1223,16783,1727,2950,18006,0,0,167.94,milp
35,7000,8832,30,2950,10,1217,17229,1733,2950,18446,0,0,168.27,milp
35,7000,8832,30,2950,12,1191,17792,1759,2950,18983,0,0,170.04,milp
35,7000,8832,30,2950,14,1210,17640,1740,2950,18850,0,0,172.74,milp
35,7000,8832,30,2950,16,1210,19714,1740,2950,20924,0,0,170.18,milp
35,7000,8832,30,2950,18,1128,17788,1822,2950,18916,0,0,171.31,milp
35,7000,8832,30,3050,0,1210,22316,1840,3050,23526,0,0,178.95,milp
35,7000,8832,30,3050,2,1209,21393,1841,3050,22602,0,0,178.18,milp
35,7000,8832,30,3050,4,1197,25246,1853,3050,26443,0,0,180.06,milp
35,7000,8832,30,3050,6,1193,22438,1857,3050,23631,0,0,179.97,milp
35,7000,8832,30,3050,8,1214,21154,1836,3050,22368,0,0,177.60,milp
35,7000,8832,30,3050,10,1200,21401,1850,3050,22601,0,0,176.34,milp
35,7000,8832,30,3050,12,1204,22858,1846,3050,24062,0,0,178.09,milp
35,7000,8832,30,3050,14,1199,22951,1851,3050,24150,0,0,180.67,milp
35,7000,8832,30,3050,16,1204,24498,1846,3050,25702,0,0,180.42,milp
35,7000,8832,30,3050,18,1112,23428,1938,3050,24540,0,0,180.71,milp
35,7000,8832,30,3150,0,1219,27605,1931,3150,28824,0,0,186.59,milp
35,7000,8832,30,3150,2,1191,27375,1959,3150,28566,0,0,189.31,milp
35,7000,8832,30,3150,4,1194,31202,1956,3150,32396,0,0,191.01,milp
35,7000,8832,30,3150,6,1190,28834,1960,3150,30024,0,0,187.26,milp
35,7000,8832,30,3150,8,1218,26359,1932,3150,27577,0,0,185.93,milp
35,7000,8832,30,3150,10,1179,27773,1971,3150,28952,0,0,186.70,milp
35,7000,8832,30,3150,12,1202,28192,1948,3150,29394,0,0,188.20,milp
35,7000,8832,30,3150,14,1172,29050,1978,3150,30222,0,0,190.29,milp
35,7000,8832,30,3150,16,1172,31592,1978,3150,32764,0,0,189.97,milp
35,7000,8832,30,3150,18,1108,28998,2042,3150,30106,0,0,190.32,milp
35,7000,8832,30,3250,0,1209,35807,2041,3250,37016,0,0,200.45,milp
35,7000,8832,30,3250,2,1172,34352,2078,3250,35524,0,0,198.31,milp
35,7000,8832,30,3250,4,1171,39614,2079,3250,40785,0,0,202.28,milp
35,7000,8832,30,3250,6,1178,34301,2072,3250,35479,0,0,197.86,milp
35,7000,8832,30,3250,8,1207,33016,2043,3250,34223,0,0,195.10,milp
35,7000,8832,30,3250,10,1175,34128,2075,3250,35303,1,0,194.36,milp
35,7000,8832,30,3250,12,1184,35118,2066,3250,36302,0,0,197.88,milp
35,7000,8832,30,3250,14,1168,35719,2082,3250,36887,0,0,197.75,milp
35,7000,8832,30,3250,16,1178,38875,2072,3250,40053,0,0,197.17,milp
35,7000,8832,30,3250,18,1113,35371,2137,3250,36484,0,0,198.79,milp
35,7000,8832,30,3350,0,1196,44315,2154,3350,45511,0,0,207.40,milp
